Vendor_ID,Vendor_Name,Category,Country,Region,Status,Onboarding_Date,Last_Updated,Contact_Email,Account_Code,Data_Source,Verified_By,Record_Status
VND-0789,Vendor Zeta 901,Marketing,Canada,AMER,Active,19/05/2019,06/10/2019,vendor.zeta.901@gmail.com,ACC-9055,Legacy System,,Clean
VND-0441,Vendor Epsilon 150,Marketing,India,APAC,Active,23/04/2022,05/08/2022,vendor.epsilon.150@corp.net,ACC-1529,Manual Entry,James T.,Clean
VND-0140,Vendor Omega 114,Finance,Singapore,APAC,Active,16/06/2024,12/03/2025,vendor.omega.114@outlook.com,ACC-1744,Oracle,James T.,Clean
VND-0696,Vendor Prime 56,HR,USA,AMER,Active,07/02/2024,08/05/2024,vendor.prime.56@vendor.com,ACC-7119,Oracle,James T.,Clean
VND-0067,Vendor Zeta 71,Operations,Singapore,APAC,Active,17/09/2023,24/05/2024,vendor.zeta.71@gmail.com,ACC-8102,Manual Entry,,Clean
VND-0853,Vendor Beta 524,Operations,UK,EMEA,Active,17/10/2020,28/10/2020,vendor.beta.524@gmail.com,ACC-9846,Manual Entry,Ravi K.,Clean
VND-0406,Vendor Services 899,Finance,UK,EMEA,Active,21/04/2023,03/01/2024,vendor.services.899@corp.net,ACC-6015,Oracle,Priya S.,Clean
VND-0737,Vendor Omega 652,Finance,India,APAC,Active,09/12/2024,01/11/2025,vendor.omega.652@gmail.com,ACC-9419,Oracle,,Clean
VND-0458,Vendor Corp 75,Finance,Australia,APAC,Active,19/05/2022,25/03/2023,vendor.corp.75@gmail.com,ACC-5612,Legacy System,James T.,Clean
VND-0308,Vendor Ltd 699,Marketing,India,EMEA,Active,26/02/2024,05/03/2024,vendor.ltd.699@gmail.com,ACC-3588,Legacy System,James T.,Clean
VND-0440,Vendor Global 110,IT,Germany,EMEA,Active,20/08/2019,30/11/2019,vendor.global.110@outlook.com,ACC-3636,Manual Entry,,Clean
VND-0068,Vendor Ltd 849,it,Singapore,APAC,Active,22/12/2020,15/09/2021,vendor.ltd.849@outlook.com,ACC-9817,Legacy System,James T.,Clean
VND-0651,Vendor Tech 494,Legal,India,APAC,Active,26/11/2024,18/04/2025,vendor.tech.494@vendor.com,ACC-9469,SAP,Sarah L.,Clean
VND-0874,Vendor Corp 541,Finance,Germany,EMEA,Active,14/04/2020,03/06/2020,vendor.corp.541@corp.net,ACC-3755,Manual Entry,Ravi K.,Clean
VND-0491,Vendor Gamma 437,Legal,Australia,APAC,Active,01/10/2023,16/07/2024,vendor.gamma.437@outlook.com,ACC-5514,Legacy System,Ravi K.,Clean
VND-0943,Vendor Alpha 246,Marketing,USA,AMER,Active,10/04/2022,17/03/2023,vendor.alpha.246@gmail.com,ACC-4559,Legacy System,James T.,Clean
VND-0077,Vendor Epsilon 15,Legal,Australia,APAC,Active,06/07/2019,02/08/2019,vendor.epsilon.15@corp.net,ACC-5786,Oracle,,Clean
VND-0434,Vendor Alpha 544,Legal,India,APAC,Active,08/11/2023,02/09/2024,vendor.alpha.544@vendor.com,ACC-9328,Oracle,,Clean
VND-0533,Vendor Zeta 194,HR,Australia,APAC,Active,20/10/2021,11/01/2022,vendor.zeta.194@vendor.com,ACC-7199,Oracle,Anita M.,Clean
VND-0875,Vendor Gamma 262,Marketing,India,AMER,Active,27/07/2023,08/07/2024,vendor.gamma.262@yahoo.com,ACC-1965,Manual Entry,Ravi K.,Clean
VND-0724,Vendor Solutions 565,IT,UK,EMEA,Active,21/06/2021,04/02/2022,vendor.solutions.565@outlook.com,ACC-2515,Manual Entry,Priya S.,Clean
